	year	num_pages
310	2012	10.0
311	2012	10.0
312	2012	10.0
313	2012	4.0
314	2012	10.0
315	2012	10.0
316	2012	10.0
317	2012	10.0
318	2012	10.0
319	2012	10.0
320	2012	10.0
321	2012	4.0
322	2012	10.0
323	2012	10.0
324	2012	10.0
325	2012	4.0
326	2012	10.0
327	2012	10.0
328	2012	10.0
329	2012	4.0
330	2012	10.0
331	2012	10.0
332	2012	10.0
333	2012	4.0
334	2012	10.0
335	2012	10.0
336	2012	10.0
337	2012	4.0
338	2012	10.0
339	2012	10.0
340	2012	10.0
341	2012	10.0
342	2012	10.0
343	2012	10.0
344	2012	10.0
345	2012	10.0
346	2012	10.0
347	2012	10.0
348	2012	10.0
349	2012	4.0
350	2012	10.0
351	2012	10.0
352	2012	10.0
353	2012	4.0
354	2012	10.0
355	2012	10.0
356	2012	10.0
357	2012	4.0
358	2012	10.0
359	2012	10.0
360	2012	10.0
361	2012	4.0
362	2012	10.0
363	2012	10.0
364	2012	10.0
365	2012	4.0
366	2012	10.0
367	2012	10.0
368	2012	10.0
369	2012	4.0
370	2012	10.0
371	2012	10.0
372	2012	10.0
373	2012	4.0
374	2012	10.0
375	2012	10.0
376	2012	10.0
377	2012	4.0
378	2012	10.0
379	2012	10.0
380	2012	10.0
381	2012	4.0
382	2012	10.0
383	2012	10.0
384	2012	10.0
385	2012	10.0
386	2012	10.0
387	2012	10.0
388	2012	10.0
389	2012	4.0
390	2012	4.0
391	2012	4.0
392	2012	4.0
393	2012	4.0
394	2012	4.0
395	2012	4.0
396	2012	10.0
397	2012	10.0
398	2012	10.0
399	2012	4.0
400	2012	10.0
401	2012	10.0
402	2012	10.0
403	2012	10.0
404	2012	10.0
405	2012	10.0
406	2012	10.0
407	2012	10.0
408	2012	10.0
409	2012	10.0
410	2012	10.0
411	2012	4.0
412	2012	10.0
413	2012	10.0
414	2012	10.0
415	2012	10.0
416	2012	10.0
417	2012	10.0
418	2012	10.0
419	2012	10.0
420	2013	11.0
421	2013	12.0
422	2013	11.0
423	2013	12.0
424	2013	12.0
